TOPICO,archivo_csv,encoding,delimiter
PESCAS,31_consumo_per_capita_pescado_anio_pais.csv,utf-8,","
PESCAS,16_valor_cantidad_precio_exportacion_pesquero.csv,ascii,","
PESCAS,01_produccion_pesquera_captura_y_acuicola_por_pais_ultimo_anio.csv,utf-8,","
PESCAS,22_pbg_pesquero.csv,utf-8,","
PESCAS,04_desembarque_especie_ultimo_anio.csv,ascii,","
PESCAS,14_evolucion_pib_pesquero.csv,ascii,","
PESCAS,07_acuicultura_produccion_por_pais_ultimo_anio.csv,utf-8,","
PESCAS,18_valor_precio_cantidad_expo_por_especie_anio.csv,ascii,","
PESCAS,11_total_desembarques.csv,ascii,","
PESCAS,09_composicion_consumo_carne_animal_por_tipo_y_pais_ultimo_anio.csv,utf-8,","
PESCAS,29_produccion_vs_consumo_pesca_arg_evo.csv,ascii,","
PESCAS,21_acuicultura_produccion_arg_evo.csv,ascii,","
PESCAS,27_vab_expo_share.csv,ascii,","
PESCAS,03_composicion_exportaciones_pesca_producto.csv,utf-8,","
PESCAS,20_captura_merluza_hubbsi_vs_cmp_anio.csv,ascii,","
PESCAS,30_share_global_expo_pesca_pais_anio.csv,utf-8,","
PESCAS,28_consumo_pescado_decil.csv,ascii,","
PESCAS,02_complejos_exportadores_ultimo_anio.csv,utf-8,","
PESCAS,15_participacion_complejo_pesquero_en_expo.csv,ascii,","
PESCAS,12_capturas_grupos_anio.csv,utf-8,","
PESCAS,26_produccion_pesquera_captura_y_acuicola_share_arg_evo.csv,ascii,","
PESCAS,05_expo_pesquera_por_especie_ultimo_anio.csv,ascii,","
PESCAS,13_captura_especie_anio.csv,ascii,","
PESCAS,08_consumo_pescado_mariscos_per_capita_pais_ultimo_anio.csv,utf-8,","
PESCAS,23_share_acuicola_total_pesca_por_pais_anio.csv,utf-8,","
PESCAS,25_produccion_pesquera_captura_y_acuicola_mundial_anio.csv,ascii,","
PESCAS,06_desembarques_puertos_totales.csv,ISO-8859-1,","
