"anio","desembarque_toneladas_fao","desembarque_toneladas_magyp","valor_empalme"
"1950","43900",,"67226.329058594"
"1951","62100",,"84371.5747262702"
"1952","67300",,"89270.2163456062"
"1953","68000",,"89929.6488712861"
"1954","70200",,"92002.1510948513"
"1955","71000",,"92755.7882670569"
"1956","66400",,"88422.374526875"
"1957","71600",,"93321.016146211"
"1958","71800",,"93509.4254392624"
"1959","76800",,"98219.6577655471"
"1960","85100",,"106038.64342718"
"1961","77500",,"98879.0902912269"
"1962","82306",,"103406.565603252"
"1963","110371",,"129845.099650688"
"1964","143504",,"161057.925184045"
"1965","172100",,"187996.685904533"
"1966","211100",,"224736.498049553"
"1967","194960",,"209531.868100306"
"1968","187221",,"202241.370505683"
"1969","169100",,"185170.546508762"
"1970","185800",,"200902.722478553"
"1971","201308",,"215511.979061757"
"1972","211148",,"224781.716279885"
"1973","270089",,"280306.876988594"
"1974","266384",,"276816.594834817"
"1975","199068",,"213401.794979582"
"1976","256206",,"267228.445911432"
"1977","369431",,"373891.656940148"
"1978","503654",,"500335.959646329"
"1979","549276",,"543314.003484281"
"1980","376865",,"380894.830362868"
"1981","351857",,"357336.132359723"
"1982","459645",,"458877.436756837"
"1983","401771",,"404357.439626557"
"1984","305484",,"313650.611626363"
"1985","396832",,"399704.672134653"
"1986","411748",,"413756.237210426"
"1987","450797",,"450542.209632244"
"1988","482681",,"480578.419130496"
"1989","481383","503310.42","503310.42"
"1990","548035","583292.646","583292.646"
"1991","629906","704381.163","704381.163"
"1992","732588","731211.764","731211.764"
"1993","970326","970626.874","970626.874"
"1994","983773","984312.055","984312.055"
"1995","1155879","1148679.383","1148679.383"
"1996","1268376","1249543.788","1249543.788"
"1997","1365915","1343260.257","1343260.257"
"1998","1141292","1120153.404","1120153.404"
"1999","1058468","1019736.558","1019736.558"
"2000","891379","850312.62","850312.62"
"2001","915545","875011.016","875011.016"
"2002","927711","880876.808","880876.808"
"2003","883604","839304.499","839304.499"
"2004","910943","873626.043","873626.043"
"2005","895935","861661.466","861661.466"
"2006","1138363","1073756.527","1073756.527"
"2007","965714","917181.475","917181.475"
"2008","983837","929920.71","929920.71"
"2009","845717","769757.375","769757.375"
"2010","796304","764658.358","764658.358"
"2011","775010","733571.248","733571.248"
"2012","723737","692262.572","692262.572"
"2013","858422","824145.11","824145.11"
"2014","815355","791107.982","791107.982"
"2015","795415","767708.447","767708.447"
"2016","736337","705724.937","705724.937"
"2017","813007","778960.767","778960.767"
"2018","815187","791655.874","791655.874"
"2019","800611","781226.658","781226.658"
"2020","818156.668","789756.049","789756.049"
"2021","835298.782","798052.634","798052.634"
"2022","834620.718","797893.774","797893.774"
"2023",,"781626.322","781626.322"
"2024",,"821504.322","821504.322"
