iso3,pais_nombre,produccion_acuicola_miles,geocodigoFundar,geonombreFundar
ABW,Aruba,0.0015,ABW,Aruba
AFG,Afganistán,11.15,AFG,Afganistán
AGO,Angola,2.336,AGO,Angola
ALB,Albania,8.812,ALB,Albania
ARE,Emiratos Árabes Unidos,3.52496,ARE,Emiratos Árabes Unidos
ARG,Argentina,6.02203,ARG,Argentina
ARM,Armenia,24.0,ARM,Armenia
ASM,Samoa Americana,0.018,ASM,Samoa Americana
ATG,Antigua y Barbuda,0.02,ATG,Antigua y Barbuda
AUS,Australia,125.230531,AUS,Australia
AUT,Austria,4.718718,AUT,Austria
AZE,Azerbaiyán,0.466,AZE,Azerbaiyán
BDI,Burundi,0.54,BDI,Burundi
BEL,Bélgica,0.243,BEL,Bélgica
BEN,Benin,4.55,BEN,Benin
BES,Bonaire,0.0005,BES,Bonaire
BFA,Burkina Faso,0.894,BFA,Burkina Faso
BGD,Bangladesh,2731.07,BGD,Bangladesh
BGR,Bulgaria,9.51078,BGR,Bulgaria
BHR,Bahrein,0.056,BHR,Bahrein
BHS,Bahamas,0.001,BHS,Bahamas
BIH,Bosnia y Herzegovina,3.9599,BIH,Bosnia y Herzegovina
BLR,Belarús,7.1644,BLR,Belarús
BLZ,Belice,1.13,BLZ,Belice
BOL,Bolivia,21.483,BOL,Bolivia
BRA,Brasil,738.881,BRA,Brasil
BRB,Barbados,0.0055,BRB,Barbados
BRN,Brunei,5.02,BRN,Brunei
BTN,Bhután,0.190879,BTN,Bhután
BWA,Botswana,0.171,BWA,Botswana
CAF,Rep. Centroafricana,0.215,CAF,Rep. Centroafricana
CAN,Canadá,166.463,CAN,Canadá
CHE,Suiza,2.5,CHE,Suiza
CHL,Chile,1524.149,CHL,Chile
CHN,China,75388.639,CHN,China
CIV,Costa de Marfil,6.2,CIV,Costa de Marfil
CMR,Camerún,10.118,CMR,Camerún
COD,Rep. Dem. Congo,5.295,COD,Rep. Dem. Congo
COG,Congo,0.9766,COG,Congo
COK,Islas Cook,0.0085,COK,Islas Cook
COL,Colombia,204.94199,COL,Colombia
CPV,Cabo Verde,0.035,CPV,Cabo Verde
CRI,Costa Rica,16.77241,CRI,Costa Rica
CUB,Cuba,15.3894,CUB,Cuba
CYM,Islas Caimán,0.088,CYM,Islas Caimán
CYP,Chipre,7.5939,CYP,Chipre
CZE,Chequia,19.259,CZE,Chequia
DEU,Alemania,26.545,DEU,Alemania
DMA,Dominica,0.0025,DMA,Dominica
DNK,Dinamarca,37.9212,DNK,Dinamarca
DOM,Rep. Dominicana,3.75,DOM,Rep. Dominicana
DZA,Argelia,5.208,DZA,Argelia
EAZ,,120.621,,
ECU,Ecuador,1123.048,ECU,Ecuador
EGY,Egipto,1552.43,EGY,Egipto
ERI,Eritrea,0.004,ERI,Eritrea
ESP,España,276.070807,ESP,España
EST,Estonia,0.800819,EST,Estonia
ETH,Etiopía,1.07,ETH,Etiopía
FIN,Finlandia,16.2806,FIN,Finlandia
FJI,Fiji,0.211,FJI,Fiji
FLK,Islas Malvinas,0.0,FLK,Islas Malvinas
FRA,Francia,200.490311,FRA,Francia
FRO,Islas Feroe,108.745,FRO,Islas Feroe
FSM,Micronesia,0.0005,FSM,Micronesia
GAB,Gabón,0.087,GAB,Gabón
GBR,Reino Unido,203.111706,GBR,Reino Unido
GEO,Georgia,2.7432,GEO,Georgia
GHA,Ghana,132.682,GHA,Ghana
GIN,Guinea,1.18,GIN,Guinea
GLP,Guadalupe,0.053,GLP,Guadalupe
GMB,Gambia,0.042,GMB,Gambia
GNB,Guinea-Bissau,0.015,GNB,Guinea-Bissau
GNQ,Guinea Ecuatorial,0.015,GNQ,Guinea Ecuatorial
GRC,Grecia,142.007591,GRC,Grecia
GRD,Granada,0.026,GRD,Granada
GTM,Guatemala,42.3134,GTM,Guatemala
GUF,Guayana Francesa,0.003,GUF,Guayana Francesa
GUM,Guam,0.108,GUM,Guam
GUY,Guyana,0.9534,GUY,Guyana
HKG,Hong Kong,3.3612,HKG,Hong Kong
HND,Honduras,73.193,HND,Honduras
HRV,Croacia,27.15605,HRV,Croacia
HTI,Haití,1.685,HTI,Haití
HUN,Hungría,18.947763,HUN,Hungría
IDN,Indonesia,14633.869095,IDN,Indonesia
IND,India,10235.3,IND,India
IRL,Irlanda,44.014,IRL,Irlanda
IRN,Irán,480.624,IRN,Irán
IRQ,Iraq,23.0,IRQ,Iraq
ISL,Islandia,51.362,ISL,Islandia
ISR,Israel,13.84,ISR,Israel
ITA,Italia,132.6609,ITA,Italia
JAM,Jamaica,0.945,JAM,Jamaica
JOR,Jordania,2.582,JOR,Jordania
JPN,Japón,942.5602,JPN,Japón
KAZ,Kazajstán,9.438316,KAZ,Kazajstán
KEN,Kenia,28.898,KEN,Kenia
KGZ,Kirguistán,20.6983,KGZ,Kirguistán
KHM,Camboya,330.6,KHM,Camboya
KIR,Kiribati,0.002,KIR,Kiribati
KNA,Saint Kitts y Nevis,0.004,KNA,Saint Kitts y Nevis
KOR,Corea del Sur,2307.63831,KOR,Corea del Sur
KWT,Kuwait,0.464,KWT,Kuwait
LAO,Laos,145.0,LAO,Laos
LBN,Líbano,0.938,LBN,Líbano
LBR,Liberia,1.375,LBR,Liberia
LBY,Libia,0.01,LBY,Libia
