anio,iso3,pais_nombre,produccion_acuicola,produccion_captura,produccion_total,share_global,geocodigoFundar,geonombreFundar
1961,ARG,Argentina,0.0,101900.0,101900.0,0.245528111450776,ARG,Argentina
1962,ARG,Argentina,1.0,101306.0,101307.0,0.224413530336929,ARG,Argentina
1963,ARG,Argentina,2.0,130571.0,130573.0,0.282574628150169,ARG,Argentina
1964,ARG,Argentina,4.0,168604.0,168608.0,0.329800771975336,ARG,Argentina
1965,ARG,Argentina,5.0,205000.0,205005.0,0.392867385631964,ARG,Argentina
1966,ARG,Argentina,5.0,250800.0,250805.0,0.444925654706846,ARG,Argentina
1967,ARG,Argentina,8.0,240860.0,240868.0,0.401844633499453,ARG,Argentina
1968,ARG,Argentina,11.0,223121.0,223132.0,0.35282741206441,ARG,Argentina
1969,ARG,Argentina,15.0,202800.0,202815.0,0.326799749942561,ARG,Argentina
1970,ARG,Argentina,19.0,214500.0,214519.0,0.314685384441654,ARG,Argentina
1971,ARG,Argentina,23.0,228608.0,228631.0,0.333313880511046,ARG,Argentina
1972,ARG,Argentina,27.0,237948.0,237975.0,0.368214137219541,ARG,Argentina
1973,ARG,Argentina,31.0,301989.0,302020.0,0.461706207604953,ARG,Argentina
1974,ARG,Argentina,36.0,295965.0,296001.0,0.427842236714654,ARG,Argentina
1975,ARG,Argentina,42.0,232209.0,232251.0,0.337223792578858,ARG,Argentina
1976,ARG,Argentina,49.0,281727.0,281776.0,0.388994537005097,ARG,Argentina
1977,ARG,Argentina,57.0,402723.0,402780.0,0.558951002257723,ARG,Argentina
1978,ARG,Argentina,67.0,541892.0,541959.0,0.727755484663407,ARG,Argentina
1979,ARG,Argentina,78.0,580657.0,580735.0,0.772917038092897,ARG,Argentina
1980,ARG,Argentina,90.0,400011.0,400101.0,0.524661101706094,ARG,Argentina
1981,ARG,Argentina,105.0,374777.0,374882.0,0.474994952183364,ARG,Argentina
1982,ARG,Argentina,123.0,488112.0,488235.0,0.600573559000489,ARG,Argentina
1983,ARG,Argentina,143.0,428064.0,428207.0,0.523019863716278,ARG,Argentina
1984,ARG,Argentina,150.0,322563.0,322713.0,0.363682802923265,ARG,Argentina
1985,ARG,Argentina,270.0,419470.0,419740.0,0.457937445722811,ARG,Argentina
1986,ARG,Argentina,270.0,422424.0,422694.0,0.430038459036579,ARG,Argentina
1987,ARG,Argentina,353.0,461568.0,461921.0,0.459509106814824,ARG,Argentina
1988,ARG,Argentina,353.0,496041.0,496394.0,0.469520873341601,ARG,Argentina
1989,ARG,Argentina,300.0,494683.0,494983.0,0.461361157834958,ARG,Argentina
1990,ARG,Argentina,300.0,560857.0,561157.0,0.539473714760134,ARG,Argentina
1991,ARG,Argentina,350.0,642362.0,642712.0,0.614952421282045,ARG,Argentina
1992,ARG,Argentina,402.0,745678.0,746080.0,0.682757757422139,ARG,Argentina
1993,ARG,Argentina,707.0,984908.0,985615.0,0.861954410072956,ARG,Argentina
1994,ARG,Argentina,763.0,999814.0,1000577.0,0.810622551441723,ARG,Argentina
1995,ARG,Argentina,1474.0,1175635.0,1177109.0,0.925225996815302,ARG,Argentina
1996,ARG,Argentina,1322.0,1290065.0,1291387.0,0.981190399722582,ARG,Argentina
1997,ARG,Argentina,1314.0,1389550.0,1390864.0,1.05847444931321,ARG,Argentina
1998,ARG,Argentina,1040.0,1165404.0,1166444.0,0.92509757115161,ARG,Argentina
1999,ARG,Argentina,1218.0,1086938.0,1088156.0,0.80323662444387,ARG,Argentina
2000,ARG,Argentina,1784.0,922289.0,924073.0,0.663194886612431,ARG,Argentina
2001,ARG,Argentina,1340.0,931282.0,932622.0,0.670398495527457,ARG,Argentina
2002,ARG,Argentina,1457.0,946535.0,947992.0,0.664917106734947,ARG,Argentina
2003,ARG,Argentina,1647.0,911283.0,912930.0,0.639492595851516,ARG,Argentina
2004,ARG,Argentina,1848.0,945978.0,947826.0,0.624326523528565,ARG,Argentina
2005,ARG,Argentina,2057.0,934009.0,936066.0,0.604359999502024,ARG,Argentina
2006,ARG,Argentina,2528.0,1176616.0,1179144.0,0.752264302670324,ARG,Argentina
2007,ARG,Argentina,2957.0,992618.0,995575.0,0.622439750528445,ARG,Argentina
2008,ARG,Argentina,2700.0,999949.0,1002649.0,0.616317555384289,ARG,Argentina
2009,ARG,Argentina,2582.95,872632.0,875214.95,0.529170053516308,ARG,Argentina
2010,ARG,Argentina,2654.35,818162.0,820816.35,0.489076063091026,ARG,Argentina
2011,ARG,Argentina,3193.25,815988.0,819181.25,0.465764975785214,ARG,Argentina
2012,ARG,Argentina,2958.42,762560.0,765518.42,0.425986141997744,ARG,Argentina
2013,ARG,Argentina,3825.12,890305.0,894130.12,0.475160310399722,ARG,Argentina
2014,ARG,Argentina,4002.71,853436.0,857438.71,0.443627996711633,ARG,Argentina
2015,ARG,Argentina,3662.65,835850.0,839512.65,0.423185527680401,ARG,Argentina
2016,ARG,Argentina,3673.485,771152.0,774825.485,0.386384395398247,ARG,Argentina
2017,ARG,Argentina,3567.76,849268.0,852835.76,0.409533038571157,ARG,Argentina
2018,ARG,Argentina,3205.31,838209.0,841414.31,0.391415562131352,ARG,Argentina
2019,ARG,Argentina,2592.19,854642.0,857234.19,0.399138047610282,ARG,Argentina
2020,ARG,Argentina,2084.5,859922.518,862007.018,0.401272676804267,ARG,Argentina
2021,ARG,Argentina,3687.0,853904.782,857591.782,0.389366864609564,ARG,Argentina
2022,ARG,Argentina,6022.03,847754.718,853776.748,0.380193987744425,ARG,Argentina
